"ProgramName","DisplayVersion"
"Visual C++ Library CRT X86 OneCore For Desktop Package","14.0.24245"
"Windows SDK Desktop Headers x86","10.1.19041.685"
"Windows SDK Desktop Headers arm","10.1.18362.1"
"Open XML SDK 2.5 for Microsoft Office","2.5.5631"
" Tools for .Net 3.5 - ESN Lang Pack","3.11.50727"
"Windows SDK Modern Non-Versioned Developer Tools","10.1.19041.685"
"Windows SDK Redistributables","10.1.19041.685"
"WinRT Intellisense Mobile - en-us","10.1.19041.685"
"Windows SDK Desktop Headers arm64","10.1.18362.1"
"Windows Software Development Kit - Windows 10.0.19041.685","10.1.19041.685"
"Visual C++ Compiler/Tools Premium X86 ARM Cross Resource Package","14.0.24245"
"Visual C++ MSBuild Base Resource Package","14.0.24245"
"Microsoft .NET CoreRuntime For CoreCon","1.0.0.0"
"Visual C++ Compiler/Tools X64 Native Resource Package","14.0.24245"
"Windows IoT Extension SDK Contracts","10.1.19041.685"
"Microsoft ASP.NET Web Tools Packages 16.0 - ENU","1.0.21125.0"
"Microsoft HTML Help Workshop Package","4.74.8702"
"Java Auto Updater","2.8.271.9"
"Visual C++ Compiler/Tools Premium X86 Base Package","14.0.24245"
"Windows SDK for Windows Store Apps Tools","10.1.19041.685"
"Pacote de Direcionamento do Microsoft .NET Framework 4.7.2 (Portugu?s (Brasil))","4.7.03062"
"Windows SDK Desktop Headers arm","10.1.19041.685"
"Windows SDK Signing Tools","10.1.18362.1"
"Visual C++ Library ATL ARM Package","14.0.24245"
"Citrix Web Helper","21.6.0.16"
"Visual C++ Compiler/Tools Premium X86 Native Resource Package","14.0.24245"
"Citrix Screen Casting for Windows","19.11.100.48"
"Universal CRT Extension SDK","10.1.19041.685"
"Visual C++ Library CRT Source Package","14.0.24245"
"Visual C++ Library CRT X86 Redist Package","14.0.24245"
"Visual C++ Compiler/Tools X86 ARM Cross Resource Package","14.0.24245"
"Visual C++ Compiler/Tools X64 ARM Cross Resource Package","14.0.24245"
"Visual C++ MSBuild Base Package","14.0.24245"
"vs_minshellmsi","16.11.31503"
"Windows SDK Desktop Tools x86","10.1.18362.1"
"Windows SDK Desktop Libs x64","10.1.18362.1"
"Visual C++ Compiler/Tools Premium ARM Base Package","14.0.24245"
"Visual C++ Compiler/Tools Premium X64 Native Package","14.0.24245"
"Microsoft .NET Framework 4.5 Multi-Targeting Pack","4.5.50710"
"Visual C++ Library CRT ARM OneCore For Desktop Package","14.0.24245"
"PI Software Development Kit (PI SDK) x86","1.4.6.494"
"Microsoft .NET Runtime - 5.0.17 (x86)","40.68.31213"
"Microsoft .NET Framework 4.8 SDK (espa?ol)","4.8.03761"
"ClickOnce Bootstrapper Package for Microsoft .NET Framework","4.8.04162"
"Visual C++ Extra Files","14.0.24245"
"Visual C++ Compiler/Tools Premium X86 X64 Cross Resource Package","14.0.24245"
"Visual C++ Compiler/Tools Premium X64 X86 Cross Resource Package","14.0.24245"
"Visual C++ Compiler/Tools X64 ARM Cross Resource Package","14.0.24245"
"Visual C++ Compiler/Tools X64 X86 Cross Resource Package","14.0.24245"
"Visual C++ Library PGO ARM Package","14.0.24245"
"vs_communitymsi","16.11.31911"
"Visual C++ Library CRT ARM Store Package","14.0.24245"
"Visual C++ Extra Resource Files","14.0.24245"
"Windows Team Extension SDK Contracts","10.1.18362.1"
"Citrix Workspace(USB)","21.6.0.31"
"Windows Espc Package","14.0.24245"
"Xamarin PCL Profiles v1.0.9","1.0.9.0"
"Windows SDK EULA","10.1.18362.1"
"Windows Team Extension SDK Contracts","10.1.19041.685"
"Windows SDK for Windows Store Apps Metadata","10.1.18362.1"
"Visual C++ Compiler/Tools Premium X64 Base Resource Package","14.0.24245"
"Google Update Helper","1.3.36.31"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660","12.0.40660.0"
"Visual C++ Library CRT ARM Redist Package","14.0.24245"
"Visual C++ Compiler/Tools X64 Native Package","14.0.24245"
"vs_vswebprotocolselectormsi","16.10.31206"
"Windows App Certification Kit x64","10.1.19041.685"
"Windows SDK for Windows Store Apps Headers","10.1.18362.1"
"vcpp_crt.redist.clickonce","14.29.30139"
"WinRT Intellisense PPI - en-us","10.1.18362.1"
"Visual C++ Library PGO X64 Package","14.0.24245"
"Microsoft ASP.NET Core 5.0.17 Shared Framework (x86)","5.0.17.22215"
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack","4.5.50932"
"Windows SDK Desktop Headers x64","10.1.18362.1"
"Foxit PDF Editor","12.0.1.12430"
"WinRT Intellisense IoT - Other Languages","10.1.18362.1"
"WinRT Intellisense UAP - en-us","10.1.18362.1"
"Universal CRT Headers Libraries and Sources","10.1.19041.685"
"vs_filehandler_x86","16.11.31503"
"Visual C++ Compiler/Tools X86 ARM Cross Package","14.0.24245"
"Visual C++ Library MFC X86 Package","14.0.24245"
"TypeScript SDK","4.3.5.0"
"Citrix Workspace(SSON)","21.6.0.13"
"Windows Team Extension SDK","10.1.18362.1"
"Universal General MIDI DLS Extension SDK","10.1.18362.1"
"vs_clickoncebootstrappermsi","16.10.31206"
"Online Plug-in","21.6.0.31"
"Windows Mobile Extension SDK","10.1.19041.685"
"Visual C++ Compiler/Tools Premium X64 X86 Cross Resource Package","14.0.24245"
"Microsoft System CLR Types for SQL Server 2019 CTP2.2","15.0.1200.24"
"Supervisor de Atualiza??o do Microsoft SQL Server 2014 ","12.2.5000.0"
"SDK ARM Redistributables","10.1.19041.685"
"Microsoft NetStandard SDK","15.0.51105"
"Visual C++ Library ATL Headers Package","14.0.24245"
"Visual C++ Library CRT X86 Desktop Package","14.0.24245"
"vcpp_crt.redist.clickonce","14.29.30139"
"Universal CRT Headers Libraries and Sources","10.1.18362.1"
"Visual C++ Compiler/Tools X86 X64 Cross Resource Package","14.0.24245"
"Cisco Jabber","12.9.1.53980"
"Microsoft Portable Library Multi-Targeting Pack Language Pack - enu","16.0.28329.73"
"sptools_Microsoft.VisualStudio.Vsto.Msi.Resources","16.0.28030"
"Windows SDK Desktop Tools x64","10.1.18362.1"
"Visual C++ Compiler/Tools X64 Native Resource Package","14.0.24245"
"Visual C++ Library MFC MBCS Package","14.0.24245"
"Windows Mobile Extension SDK Contracts","10.1.19041.685"
"MSI Development Tools","10.1.19041.685"
"Visual C++ Library CRT Desktop Appx Package","14.29.30133"
"Visual C++ Compiler/Tools Premium X64 Base Resource Package","14.0.24245"
"Visual C++ Compiler/Tools Premium X86 ARM Cross Resource Package","14.0.24245"
"Windows SDK","10.1.19041.685"
"IntelliTraceProfilerProxy","15.0.18198.01"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40660","12.0.40660"
"Windows SDK Desktop Libs x86","10.1.19041.685"
