"Name","DisplayName","State","StartMode","PathName","ServiceType"
"GPIOClx0101","Microsoft GPIO Class Extension Driver","Running","Manual","C:\WINDOWS\system32\Drivers\msgpioclx.sys","Kernel Driver"
"FsDepends","File System Dependency Minifilter","Running","Manual","C:\WINDOWS\system32\drivers\FsDepends.sys","File System Driver"
"vmsmp","vmsmp","Running","Manual","C:\WINDOWS\system32\drivers\vmswitch.sys","Kernel Driver"
"FltMgr","FltMgr","Running","Boot","C:\WINDOWS\system32\drivers\fltmgr.sys","File System Driver"
"VMSNPXY","VmSwitch NIC Proxy Driver","Running","Boot","C:\WINDOWS\system32\drivers\VmsProxyHNic.sys","Kernel Driver"
"fvevol","Driver de Filtro de Criptografia de Unidade de Disco BitLocker","Running","Boot","C:\WINDOWS\system32\DRIVERS\fvevol.sys","Kernel Driver"
"VMSNPXYMP","VMSNPXYMP","Running","Manual","C:\WINDOWS\system32\drivers\VmsProxyHNic.sys","Kernel Driver"
"spaceparser","Space Parser","Stopped","Manual","C:\WINDOWS\system32\drivers\spaceparser.sys","Kernel Driver"
"ws2ifsl","Winsock IFS Driver","Stopped","Disabled","C:\WINDOWS\system32\drivers\ws2ifsl.sys","Kernel Driver"
"SiSRaid4","SiSRaid4","Stopped","Manual","C:\WINDOWS\system32\drivers\sisraid4.sys","Kernel Driver"
"wsddpp","Warsaw - Driver (PP)","Stopped","System","\??\C:\windows\system32\drivers\wsddpp.sys","Kernel Driver"
"wsddfac","wsddfac","Stopped","System","C:\WINDOWS\system32\drivers\wsddfac.sys","File System Driver"
"usbhub","Microsoft USB Standard Hub Driver","Stopped","Manual","C:\WINDOWS\system32\drivers\usbhub.sys","Kernel Driver"
"smbdirect","smbdirect","Stopped","Manual","C:\WINDOWS\system32\DRIVERS\smbdirect.sys","File System Driver"
"SmartSAMD","SmartSAMD","Stopped","Manual","C:\WINDOWS\system32\drivers\SmartSAMD.sys","Kernel Driver"
"stexstor","stexstor","Stopped","Manual","C:\WINDOWS\system32\drivers\stexstor.sys","Kernel Driver"
"tunnel","Driver do Adaptador de Miniporta de T?nel da Microsoft","Stopped","Manual","C:\WINDOWS\system32\drivers\tunnel.sys","Kernel Driver"
"VerifierExt","Extens?o do Verificador de Driver","Stopped","Disabled","C:\WINDOWS\system32\drivers\VerifierExt.sys","Kernel Driver"
"storahci","Driver AHCI SATA Padr?o da Microsoft","Stopped","Manual","C:\WINDOWS\system32\drivers\storahci.sys","Kernel Driver"
"WinVerbs","Servi?o WinVerbs","Stopped","Manual","C:\WINDOWS\system32\drivers\winverbs.sys","Kernel Driver"
"usbehci","Microsoft USB 2.0 Enhanced Host Controller Miniport Driver","Stopped","Manual","C:\WINDOWS\system32\drivers\usbehci.sys","Kernel Driver"
"SpatialGraphFilter","Holographic Spatial Graph Filter","Stopped","Manual","C:\WINDOWS\system32\drivers\SpatialGraphFilter.sys","Kernel Driver"
