"Name","DisplayName","State","StartMode","PathName"
"dot3svc","Configura??o Autom?tica com Fio","Running","Auto","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"WSearch","Windows Search","Running","Auto","C:\WINDOWS\system32\SearchIndexer.exe /Embedding"
"Dhcp","Cliente DHCP","Running","Auto","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"DeviceInstall","Servi?o de Instala??o de Dispositivo","Running","Manual","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"DiagTrack","Experi?ncias do Usu?rio Conectado e Telemetria","Running","Auto","C:\WINDOWS\System32\svchost.exe -k utcsvc -p"
"DispBrokerDesktopSvc","Exibir Servi?o de Pol?tica","Running","Auto","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"WslService","ms-resource:AppName","Running","Auto","C:\Program Files\WindowsApps\MicrosoftCorporationII.WindowsSubsystemForLinux_1.2.5.0_x64__8wekyb3d8bbwe\wslservice.exe"
"ClickToRunSvc","Servi?o Clique para Executar do Microsoft Office","Running","Auto","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service"
"OneSyncSvc_371894","Host de Sincroniza??o_371894","Running","Auto","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
"PimIndexMaintenanceSvc_371894","Dados de Contato_371894","Running","Manual","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
"AudioEndpointBuilder","Construtor de Pontos de Extremidade de ?udio do Windows","Running","Auto","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"BESClient","BES Client","Running","Auto","""C:\Program Files (x86)\BigFix Enterprise\BES Client\BESClient.exe"""
"Audiosrv","?udio do Windows","Running","Auto","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"PrintWorkflowUserSvc_371894","PrintWorkflow_371894","Running","Manual","C:\WINDOWS\system32\svchost.exe -k PrintWorkflow"
"UserDataSvc_371894","Acesso a Dados de Usu?rio_371894","Running","Manual","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
"WpnUserService_371894","Servi?o de Usu?rio de Notifica??es por Push do Windows_371894","Running","Auto","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
"AOTAgentSvc","Trend Micro Telemetry Service","Running","Auto","""C:\Program Files (x86)\Trend Micro\AOT\AOTAgent.exe"""
"Appinfo","Informa??es sobre Aplicativos","Running","Manual","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"UnistoreSvc_371894","Armazenamento de Dados de Usu?rio_371894","Running","Manual","C:\WINDOWS\System32\svchost.exe -k UnistackSvcGroup"
"BFE","Mecanismo de Filtragem B?sica","Running","Auto","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"CcmExec","Host de Agente do SMS","Running","Auto","C:\windows\CCM\CcmExec.exe"
"camsvc","Servi?o do Gerenciador de Acesso de Recurso","Running","Manual","C:\WINDOWS\system32\svchost.exe -k appmodel -p"
"CDPSvc","Servi?o de Plataforma de Dispositivos Conectados","Running","Auto","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"CETASvc","Trend Micro Cloud Endpoint Telemetry Service","Running","Auto","""C:\Program Files (x86)\Trend Micro\Endpoint Basecamp\modules\ceta\CETASvc.exe"" --service --env=""prod"" --region=""us1"" --log-path=""C:\Program Files (x86)\Trend Micro\Endpoint Basecamp\log"""
"CertPropSvc","Propaga??o de Certificado","Running","Manual","C:\WINDOWS\system32\svchost.exe -k netsvcs"
"cbdhsvc_371894","Servi?o de Usu?rio da ?rea de Transfer?ncia_371894","Running","Manual","C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p"
"BrokerInfrastructure","Servi?o de Infraestrutura de Tarefas de Segundo Plano","Running","Auto","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"BITS","Servi?o de Transfer?ncia Inteligente em Segundo Plano","Running","Auto","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
